Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
89,"Sakai, Y.; Ugawa, S.; Ishizuka, S.; Takahashi, M.; Takenaka, C.",2012,Wood density & carbon & nitrogen concentrations in deadwood of Chamaecyparis obtusa & Cryptomeria japonica,Soil Science and Plant Nutrition,58,4,526-537,
90,"Preston, C.M.; Trofymow, J.A.; Flanagan, L.B.",2006,"Decomposition, _13C, & the “lignin paradox”",Canadian Journal of Soil Science,86,Special Issue,235-245,
91,"Preston, C.M.; Trofymow, J.A.; Niu, J.; Fyfe, C.A.",1998,13CPMAS-NMR spectroscopy & chemical analysis of coarse woody debris in coastal forests of Vancouver Isl&,Forest Ecology and Management,111,1,51-68,
92,"Ganjegunte, G.K.; Condron, L.M.; Clinton, P.W., Davis, M.R.; Mahieu, N. ",2004,Decomposition & nutrient release from radiata pine (Pinus radiata) coarse woody debris,Forest Ecology and Management,187,2-3,197-211,
93,"Gómez-Brandón M.; Ascher-Jenull, J.; Bardelli, T.; Fornasier, F.; Fravolini, G.; Arfaioli, P.; Ceccherini, M.T.; Pietramellara, G.; Lamorski, K.; S_awi_ski C.; Bertoldi, D.",2017,Physico-chemical & microbiological evidence of exposure effects on Picea abies–Coarse woody debris at different stages of decay,Forest Ecology and Management,391,1,376-389,
94,"Strukelj, M.; Brais, S.; Quideau, S. A.; Angers, V. A.; Kebli, H.; Drapeau, P. Oh, S. W",2013,Chemical transformations in downed logs & snags of mixed boreal species during decomposition,Canadian Journal of Forest Research,43,9,785-798,
95,"Bütler, R.; Patty, L.; Le Bayon, R. C.; Guenat, C.; Schlaepfer, R.",2007,Log decay of Picea abies in the Swiss Jura Mountains of central Europe,Forest Ecology and Management,242,2-3,791-799,
96,"Palviainen, M.; Finér, L.",2015,Decomposition & nutrient release from Norway spruce coarse roots & stumps–a 40-year chronosequence study,Forest Ecology and Management,358,,1-11,
97,"Chen, Y.; Sayer, E. J.; Li, Z.; Mo, Q.; Li, Y.; Ding, Y.; Wang, J.; Lu, X.; Tang, J.; Wang, F.",2016,Nutrient limitation of woody debris decomposition in a tropical forest: contrasting effects of N & P addition,Functional Ecology,30,2,295–304,
98,"Jomura, M.; Akashi, Y.; Itoh, H.; Yuki, R.; Sakai, Y.; Maruyama, Y.",2015,Biotic & abiotic factors controlling respiration rates of above-& belowground woody debris of Fagus crenata & Quercus crispula in Japan,PLoS ONE,10,12,e0145113,
